row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
5466,0.3457327397880309,5.7796020140929115e-06,0.10077892031973809,ENSG00000124171.9,PARD6B,protein_coding
7187,0.30225094901806737,8.371887726475102e-05,0.2941607661161386,ENSG00000135960.10,EDAR,protein_coding
5482,0.30205569655757947,8.465298455875754e-05,0.2941607661161386,ENSG00000124214.20,STAU1,protein_coding
12006,0.30110256613241215,8.935458032691831e-05,0.2941607661161386,ENSG00000167065.14,DUSP18,protein_coding
10909,0.2933084530325958,0.00013805356537486134,0.2941607661161386,ENSG00000163082.10,SGPP2,protein_coding
11967,0.2912944102494816,0.0001541690787168328,0.2941607661161386,ENSG00000166900.17,STX3,protein_coding
2060,0.2877693070362241,0.000186667494977815,0.2941607661161386,ENSG00000096384.20,HSP90AB1,protein_coding
5480,0.28642520293332735,0.00020065910070838768,0.2941607661161386,ENSG00000124209.4,RAB22A,protein_coding
13063,0.2859919618309786,0.0002053730267991753,0.2941607661161386,ENSG00000171475.14,WIPF2,protein_coding
11964,0.28431817181605057,0.00022457001325478816,0.2941607661161386,ENSG00000166889.14,PATL1,protein_coding
1322,0.2837539016973816,0.00023140908864389647,0.2941607661161386,ENSG00000075785.14,RAB7A,protein_coding
12444,0.2837475615836887,0.00023148702068492326,0.2941607661161386,ENSG00000168827.15,GFM1,protein_coding
10567,0.28233371623016995,0.000249488396838285,0.2941607661161386,ENSG00000161011.20,SQSTM1,protein_coding
12676,0.2817461990279604,0.0002573445247433915,0.2941607661161386,ENSG00000169813.16,HNRNPF,protein_coding
9130,0.28030276647720803,0.00027763202754261856,0.2941607661161386,ENSG00000148737.17,TCF7L2,protein_coding
5595,0.27893118854830873,0.0002982762311308742,0.2941607661161386,ENSG00000124831.19,LRRFIP1,protein_coding
5094,0.278702944455364,0.00030184680539808355,0.2941607661161386,ENSG00000120756.13,PLS1,protein_coding
10135,-0.2781175406243854,0.0003111867489864739,0.2941607661161386,ENSG00000157782.9,CABP1,protein_coding
10181,-0.27735672698123626,0.0003237260146654949,0.2941607661161386,ENSG00000158156.9,XKR8,protein_coding
5816,0.27449944907696516,0.00037512082156347995,0.2941607661161386,ENSG00000126368.6,NR1D1,protein_coding
20391,0.2740810015732332,0.0003832525113622793,0.2941607661161386,ENSG00000206527.10,HACD2,protein_coding
6314,0.2738971382761388,0.0003868768815187329,0.2941607661161386,ENSG00000130703.17,OSBPL2,protein_coding
11164,0.2738400772529026,0.0003880081218484366,0.2941607661161386,ENSG00000163898.10,LIPH,protein_coding
17653,0.2718704152656388,0.0004289862879199418,0.3051808604064301,ENSG00000198142.5,SOWAHC,protein_coding
9666,0.26960910804850124,0.0004809503318709444,0.3051808604064301,ENSG00000153561.13,RMND5A,protein_coding
11646,0.26911035243799236,0.0004931680385763011,0.3051808604064301,ENSG00000165650.12,PDZD8,protein_coding
19843,0.26887576823135473,0.0004990130832870439,0.3051808604064301,ENSG00000204388.7,HSPA1B,protein_coding
3869,0.26830304462776194,0.0005135532749873848,0.3051808604064301,ENSG00000111261.14,MANSC1,protein_coding
6476,0.2676626931447781,0.0005302730569438145,0.3051808604064301,ENSG00000131653.13,TRAF7,protein_coding
48390,0.2673393473464397,0.0005389053379299104,0.3051808604064301,ENSG00000265763.4,ZNF488,protein_coding
11827,0.2656888044150524,0.0005850256942625106,0.3051808604064301,ENSG00000166348.18,USP54,protein_coding
13639,-0.26558102248227294,0.0005881605038484495,0.3051808604064301,ENSG00000174136.13,RGMB,protein_coding
52509,0.264930824916835,0.0006074022705007493,0.3051808604064301,ENSG00000273812.3,BX640514.2,lncRNA
9417,0.2646828397091108,0.0006148927299626978,0.3051808604064301,ENSG00000151532.14,VTI1A,protein_coding
15700,0.26402135451381725,0.0006352915506681183,0.3051808604064301,ENSG00000184307.16,ZDHHC23,protein_coding
6663,0.2632837879542088,0.0006587707711554604,0.3051808604064301,ENSG00000132823.11,OSER1,protein_coding
24888,-0.26315487230911966,0.0006629557418856213,0.3051808604064301,ENSG00000223749.11,MIR503HG,lncRNA
11572,0.26281884628339547,0.0006739794856876166,0.3051808604064301,ENSG00000165322.18,ARHGAP12,protein_coding
17356,-0.26141345441480063,0.0007219391960621424,0.3051808604064301,ENSG00000197245.6,FAM110D,protein_coding
2742,0.26115350975339136,0.0007311469128158942,0.3051808604064301,ENSG00000103018.17,CYB5B,protein_coding
11761,-0.26091681217552276,0.0007396250543357311,0.3051808604064301,ENSG00000166133.18,RPUSD2,protein_coding
8377,0.2607583093332,0.0007453528496360559,0.3051808604064301,ENSG00000143375.15,CGN,protein_coding
5946,0.26034197520069896,0.0007605927973923568,0.3051808604064301,ENSG00000127666.10,TICAM1,protein_coding
