Source Member,Gene Symbol
U12404_at,RPL10A
U12465_at,RPL35
U14603_at,PTP4A2
U14968_at,RPL27A
U14969_at,RPL28
U14970_at,RPS5
U14971_at,RPS9
U14972_at,RPS10
U14973_at,RPS29
U15008_at,SNRPD2
U20285_at,GPS1
U24105_at,COPA
U25789_at,RPL21
U28963_at,GPS2
U29607_at,
U32944_at,DYNLL1
U32986_s_at,DDB1
U33821_at,TAX1BP1
U34343_at,NDUFA12
U36341_rna1_at,SLC6A8
U37146_at,NCOR2
U37690_at,POLR2L
U38846_at,CCT4
U39318_at,UBE2D3
U40282_at,ILK
U41371_at,SF3B2
U41635_at,OS9
U43901_rna1_s_at,RPSA
U44839_at,USP11
U45982_at,CCR9
U46025_at,EIF3C
U46692_rna1_at,CSTB
U46751_at,SQSTM1
U47742_at,KAT6A
U49785_at,DDT
U49835_s_at,CHI3L2
U49869_rna1_at,UBB
U50079_s_at,HDAC1
U50523_at,ARPC2
U50733_at,DCTN2
U51004_at,HINT1
U51336_at,ITPK1
U56417_at,AGPAT1
U56637_at,CAPZA1
U57341_r_at,
U57342_at,MLF2
U58682_at,RPS28
U60115_at,FHL1
U61734_s_at,TMED10
U62317_rna3_at,CHKB
U62962_at,EIF3E
U67171_at,SELENOW
U68105_s_at,PABPC1
U70439_s_at,ANP32B
U70660_at,ATOX1
U70735_at,COPS6
U72511_at,PHB2
U72649_at,BTG2
U73379_at,UBE2C
U73824_at,EIF4G2
U77604_at,MGST2
U78027_rna3_at,RPL36A
U79262_at,DHPS
U81556_at,CTDSP2
U82010_rna1_at,COX10
U85193_at,NFIB
U88964_at,ISG20
U90313_at,GSTO1
U90878_at,PDLIM1
U90915_at,COX4I1
U91932_at,AP3S1
U93205_at,CLIC1
U94586_at,NDUFA4
U94855_at,EIF3F
U95040_at,TRIM28
V00572_at,PGK1
V00594_s_at,MT2A
V00599_s_at,TUBBP1
X00274_at,HLA-DRA
X00351_f_at,ACTB
X01677_f_at,GAPDH
X02152_at,LDHA
X02317_at,SOD1
X03100_cds2_at,HLA-DPA1
X03342_at,RPL32
X03689_s_at,EEF1A1
X04106_at,CAPNS1
X04347_s_at,HNRNPA1
X04526_at,GNB1
X04654_s_at,SNRNP70
X06617_at,RPS11
X07979_at,ITGB1
X12447_at,ALDOA
X12671_rna1_at,HNRNPA1
X13238_at,COX6C
X13546_rna1_at,HMGN2
X13794_rna1_at,LDHB
X14684_s_at,SSB
X15183_at,HSP90AA1
X15341_at,COX6A1
X15729_s_at,DDX5
X15822_at,COX7A2
X15940_at,RPL31
X16064_at,TPT1
X16135_at,HNRNPL
X16560_at,COX7C
X17206_at,RPS2
X51345_at,JUNB
X51466_at,EEF2
X51521_at,EZR
X52851_rna1_at,PPIA
X52966_at,RPL35A
X53331_at,MGP
X53416_at,FLNA
X53777_at,RPL17
X55715_at,RPS3
X55954_at,RPL23
X56468_at,YWHAQ
X56681_s_at,JUND
X56841_at,HLA-E
X56932_at,RPL13A
X56997_rna1_at,UBA52
X57152_rna1_s_at,CSNK2B
X57346_at,YWHAB
X57351_s_at,IFITM3
X57959_at,RPL7
X59834_at,GLUL
X59892_at,WARS1
X60036_at,SLC25A3
X60221_at,ATP5PB
X60489_at,EEF1B2
X62055_at,PTPN6
X62654_rna1_at,CD63
X62691_at,RPS15A
X63527_at,RPL19
X63753_at,SON
X64707_at,RPL13
X66397_at,TPR
X67247_rna1_at,RPS8
X67698_at,NPC2
X67951_at,PRDX1
X68277_at,DUSP1
X68733_rna1_at,SERPINA3
X69150_at,RPS18
X69391_at,RPL6
X69654_at,RPS26
X69908_rna1_at,ATP5MC2
X71428_at,FUS
X71973_at,GPX4
X72727_at,HNRNPK
X72964_at,CETN2
X73460_at,RPL3
X74104_at,SSR2
X75252_at,PEBP1
X75861_at,TMBIM6
X76013_at,QARS1
X77584_at,TXN
X78136_at,PCBP2
X79234_at,RPL11
X80199_at,CASC3
X80200_at,TRAF4
X80822_at,RPL18A
X80909_at,NACA
